[2021-07-10 16:53:10,925][MainThread:13216][task_id:urllib3.connectionpool][connectionpool.py:452][DEBUG][http://10.111.32.82:10219 "POST /whale-openapi/renovation/operation/operate HTTP/1.1" 200 None]
[2021-07-10 16:53:10,927][MainThread:13216][task_id:interface_case][common_method.py:129][DEBUG][----------------------当前接口测试失败----------------]
[2021-07-10 16:53:10,927][MainThread:13216][task_id:interface_case][common_method.py:130][DEBUG][失败接口返回的报文---》]
[2021-07-10 16:53:10,928][MainThread:13216][task_id:interface_case][common_method.py:131][DEBUG][{"errorCode":"100001","errorMsg":"senders 发送人员不能为空","success":false}]
[2021-07-10 16:53:10,928][MainThread:13216][task_id:interface_case][common_method.py:132][DEBUG][]
[2021-07-10 16:53:10,939][MainThread:13216][task_id:interface_case][test_renovation.py:200][INFO][>>>>>添加事件流转流程接口测试开始]
[2021-07-10 16:53:10,940][MainThread:13216][task_id:interface_case][test_renovation.py:209][INFO][>>>>根据id去进行专项整治流转]
[2021-07-10 16:53:10,941][MainThread:13216][task_id:urllib3.connectionpool][connectionpool.py:227][DEBUG][Starting new HTTP connection (1): 10.111.32.82:10219]
[2021-07-10 16:53:11,022][MainThread:13216][task_id:urllib3.connectionpool][connectionpool.py:452][DEBUG][http://10.111.32.82:10219 "POST /whale-openapi/renovation/operation/operate HTTP/1.1" 200 None]
[2021-07-10 16:53:11,024][MainThread:13216][task_id:interface_case][common_method.py:129][DEBUG][----------------------当前接口测试失败----------------]
[2021-07-10 16:53:11,026][MainThread:13216][task_id:interface_case][common_method.py:130][DEBUG][失败接口返回的报文---》]
[2021-07-10 16:53:11,027][MainThread:13216][task_id:interface_case][common_method.py:131][DEBUG][{"errorCode":"100001","errorMsg":"senders 发送人员不能为空","success":false}]
[2021-07-10 16:53:11,028][MainThread:13216][task_id:interface_case][common_method.py:132][DEBUG][]
[2021-07-10 16:53:11,049][MainThread:13216][task_id:interface_case][test_renovation.py:200][INFO][>>>>>添加事件流转流程接口测试开始]
[2021-07-10 16:53:11,049][MainThread:13216][task_id:interface_case][test_renovation.py:209][INFO][>>>>根据id去进行专项整治流转]
[2021-07-10 16:53:11,050][MainThread:13216][task_id:urllib3.connectionpool][connectionpool.py:227][DEBUG][Starting new HTTP connection (1): 10.111.32.82:10219]
